DopingConcentration(C1(n1314_msh)) X,DopingConcentration(C1(n1314_msh)) Y,DopingConcentration(C1(n1349_msh)) X,DopingConcentration(C1(n1349_msh)) Y,DopingConcentration(C1(n1384_msh)) X,DopingConcentration(C1(n1384_msh)) Y,DopingConcentration(C2(n1207_msh_4)) X,DopingConcentration(C2(n1207_msh_4)) Y,DopingConcentration(C2(n1242_msh_4)) X,DopingConcentration(C2(n1242_msh_4)) Y,DopingConcentration(C2(n1277_msh_4)) X,DopingConcentration(C2(n1277_msh_4)) Y,GR = 0.03 ; AB = 0.32 X,GR = 0.03 ; AB = 0.32 Y,GR = 0.03 ; AB = 0.62 X,GR = 0.03 ; AB = 0.62 Y,GR = 0.07 ; AB = 0.32 X,GR = 0.07 ; AB = 0.32 Y,GR = 0.07 ; AB = 0.62 X,GR = 0.07 ; AB = 0.62 Y,GR = 0.1 ; AB = 0.32 X,GR = 0.1 ; AB = 0.32 Y,GR = 0.1 ; AB = 0.62 X,GR = 0.1 ; AB = 0.62 Y
-4.741107,-1.3929345e+18,-4.741107,-1.3929345e+18,-4.741107,-1.3929345e+18,-4.7446113,-1.4041267e+18,-4.7446113,-1.4041287e+18,-4.7446113,-1.4041287e+18,-3.6680989,6.5888319e+16,-4.7367444,-1.3789015e+18,-3.6680989,6.5888319e+16,-4.7367444,-1.3789015e+18,-3.6680989,6.5888319e+16,-4.7367444,-1.3789015e+18
-4.7177472,-1.3182224e+18,-4.7177472,-1.3182224e+18,-4.7177472,-1.3182224e+18,-4.7177472,-1.3182066e+18,-4.7177472,-1.318209e+18,-4.7177472,-1.318209e+18,-3.650605,9.3574493e+16,-4.7177472,-1.3181418e+18,-3.650605,9.3574493e+16,-4.7177472,-1.3181418e+18,-3.650605,9.3574493e+16,-4.7177472,-1.3181418e+18
-4.6011539,-9.4533168e+17,-4.6011539,-9.4533168e+17,-4.6011539,-9.4533168e+17,-4.6046581,-9.5652249e+17,-4.6046581,-9.5652987e+17,-4.6046581,-9.5652987e+17,-3.6331108,1.2026327e+17,-4.5967917,-9.3131777e+17,-3.6331108,1.2026327e+17,-4.5967917,-9.3131777e+17,-3.6331108,1.2026327e+17,-4.5967917,-9.3131777e+17
-4.5777941,-8.7062218e+17,-4.5777941,-8.7062218e+17,-4.5777941,-8.7062218e+17,-4.5777941,-8.7060464e+17,-4.5777941,-8.706132e+17,-4.5777941,-8.706132e+17,-3.6156166,1.4529915e+17,-4.5777941,-8.7055967e+17,-3.6156166,1.4529915e+17,-4.5777941,-8.7055967e+17,-3.6156166,1.4529915e+17,-4.5777941,-8.7055967e+17
-4.4612007,-4.9800312e+17,-4.4612007,-4.9800312e+17,-4.4612007,-4.9800312e+17,-4.464705,-5.0919481e+17,-4.464705,-5.0919702e+17,-4.464705,-5.0919702e+17,-3.599998,1.6666873e+17,-4.4568386,-4.8402711e+17,-3.599998,1.666866e+17,-4.4568386,-4.8402711e+17,-3.599998,1.6669052e+17,-4.4568386,-4.8402711e+17
-4.4378409,-4.2334807e+17,-4.4378409,-4.2334807e+17,-4.4378409,-4.2334807e+17,-4.4378409,-4.2334223e+17,-4.4378409,-4.2334294e+17,-4.4378409,-4.2334294e+17,-3.599998,1.6666873e+17,-4.4378409,-4.2331508e+17,-3.599998,1.666866e+17,-4.4378409,-4.2331508e+17,-3.599998,1.6669052e+17,-4.4378409,-4.2331508e+17
-4.3212476,-6.6272875e+16,-4.3212476,-6.6272875e+16,-4.3212476,-6.6272875e+16,-4.3247519,-7.7574897e+16,-4.3247519,-7.7004264e+16,-4.3247519,-7.7004264e+16,-3.5981226,1.3978572e+17,-4.3168855,-5.351939e+16,-3.5981226,1.5458293e+17,-4.3168855,-5.351939e+16,-3.5981226,1.5803818e+17,-4.3168855,-5.351939e+16
-4.2978878,5.2679512e+15,-4.2978878,5.2679512e+15,-4.2978878,5.2679512e+15,-4.2978878,4.5620447e+15,-4.2978878,5.2684086e+15,-4.2978878,5.2684086e+15,-3.5806284,2.7096051e+16,-4.2978878,4.5649131e+15,-3.5806284,7.6520898e+16,-4.2978878,4.5649131e+15,-3.5806284,9.6124861e+16,-4.2978878,4.5649131e+15
-4.2395911,9.1274553e+15,-4.2395911,9.1274553e+15,-4.2395911,9.1274553e+15,-4.2413435,8.8757199e+15,-4.2413435,9.0114724e+15,-4.2413435,9.0114724e+15,-3.5631342,1e+16,-4.2374101,9.1758958e+15,-3.5631342,3.7879006e+16,-4.2374101,9.1758958e+15,-3.5631342,5.8466813e+16,-4.2374101,9.1758958e+15
-4.2279115,9.9007296e+15,-4.2279115,9.9007296e+15,-4.2279115,9.9007296e+15,-4.2279115,9.9005353e+15,-4.2279115,9.9007297e+15,-4.2279115,9.9007297e+15,-3.54564,1e+16,-4.2279115,9.9005357e+15,-3.54564,1.8750683e+16,-4.2279115,9.9005357e+15,-3.54564,3.556175e+16,-4.2279115,9.9005357e+15
-4.1696148,9.9009506e+15,-4.1696148,9.9009506e+15,-4.1696148,9.9009506e+15,-4.1713667,9.9009067e+15,-4.1713667,9.900944e+15,-4.1713667,9.900944e+15,-3.528146,1e+16,-4.1674333,9.9009325e+15,-3.528146,1e+16,-4.1674333,9.9009325e+15,-3.528146,2.1630015e+16,-4.1674333,9.9009325e+15
-4.1579347,9.9009949e+15,-4.1579347,9.9009949e+15,-4.1579347,9.9009949e+15,-4.1579347,9.9009949e+15,-4.1579347,9.9009949e+15,-4.1579347,9.9009949e+15,-3.5106518,1e+16,-4.1579347,9.9009949e+15,-3.5106518,1e+16,-4.1579347,9.9009949e+15,-3.5106518,1.3156202e+16,-4.1579347,9.9009949e+15
-4.099638,9.900995e+15,-4.099638,9.900995e+15,-4.099638,9.900995e+15,-4.1013904,9.900995e+15,-4.1013904,9.900995e+15,-4.1013904,9.900995e+15,-3.4999981,1e+16,-4.0974569,9.900995e+15,-3.4999981,1e+16,-4.0974569,9.900995e+15,-3.4999981,1e+16,-4.0974569,9.900995e+15
-4.0879583,9.900995e+15,-4.0879583,9.900995e+15,-4.0879583,9.900995e+15,-4.0879583,9.900995e+15,-4.0879583,9.900995e+15,-4.0879583,9.900995e+15,-3.4999981,1e+16,-4.0879583,9.900995e+15,-3.4999981,1e+16,-4.0879583,9.900995e+15,-3.4999981,1e+16,-4.0879583,9.900995e+15
